AhvmIu	1	CA	c_char_p(19644996)
i7iNIT	1	CA	c_char_p(59657012)
xtL89x	1	CA	c_char_p(21030692)
qvXnXj	2	CA	c_char_p(19070324)
IdrR0	13	CA	c_char_p(18951108)
A1sTZk	1	CA	c_char_p(75176692)
ABJeW0	2	CA	c_char_p(77808900)
la6iqN	1	CA	c_char_p(75148436)
SB7ZS	1	CA	c_char_p(18696468)
zd62Kv	11	CA	c_char_p(19068308)
zGqov8	2	CA	c_char_p(21806116)
o3s6gt	1	CA	c_char_p(62259204)
f6qTCk	1	CA	c_char_p(19084324)
xdBuig	2	CA	c_char_p(18682756)
xPvNVn	1	CA	c_char_p(21792132)
g9ZQJ0	1	CA	c_char_p(19623796)
wmfMoA	1	CA	c_char_p(75102980)
Ahzvq8	2	CA	c_char_p(21775972)
zHsrnj	7	CA	c_char_p(18770212)
buIRUn	2	CA	c_char_p(19394356)
2AOvHS	1	CA	c_char_p(21791140)
zN5vum	1	CA	c_char_p(23261844)
xNNzgC	5	CA	c_char_p(59538484)
uPTpW7	3	CA	c_char_p(20314340)
xZ7PnR	1	CA	c_char_p(22419572)
bREk8i	5	CA	c_char_p(18763700)
Abku0J	1	CA	c_char_p(22458372)
oqPMKY	2	CA	c_char_p(20260916)
zzFsn4	1	CA	c_char_p(18618788)
w1yV1G	2	CA	c_char_p(71018068)
yABMKV	1	CA	c_char_p(18848372)
r31fqx	3	CA	c_char_p(21731940)
yUglaE	1	CA	c_char_p(74931524)
wx9M3j	1	CA	c_char_p(62297924)
csI8yJ	1	CA	c_char_p(20964980)
z5HoG3	25	CA	c_char_p(77812596)
86tmzQ	1	CA	c_char_p(18792612)
zui2a7	4	CA	c_char_p(19543652)
xl8O0c	24	CA	c_char_p(19091364)
8faZ4	1	CA	c_char_p(19046868)
aZMetW	1	CA	c_char_p(19049812)
wgcdFx	1	CA	c_char_p(77786260)
gXBtTo	1	CA	c_char_p(28884852)
bbII7n	1	CA	c_char_p(20204724)
19AnNk	9	CA	c_char_p(18783844)
A113rm	2	CA	c_char_p(21427972)
yZxhRq	3	CA	c_char_p(21047124)
ipgl7l	1	CA	c_char_p(18929108)
oEiL1L	2	CA	c_char_p(42966148)
d0iKKk	4	CA	c_char_p(19590404)
wY8dEX	4	CA	c_char_p(18930292)
wJPcoM	1	CA	c_char_p(18568628)
bFdYIG	1	CA	c_char_p(33778948)
hKZbJs	1	CA	c_char_p(19050980)
wruGzu	5	CA	c_char_p(19633476)
o4KSzx	1	CA	c_char_p(18940612)
y7mqmw	29	CA	c_char_p(18711028)
yM4Zdk	1	CA	c_char_p(21409124)
ySQVYW	1	CA	c_char_p(29981380)
xApWhD	1	CA	c_char_p(18883556)
4kIXux	1	CA	c_char_p(18717332)
yrfXg6	1	CA	c_char_p(65298612)
e2m0JS	2	CA	c_char_p(20844356)
yVjnmI	1	CA	c_char_p(18797620)
y4GcFf	2	CA	c_char_p(19296692)
rD4caI	1	CA	c_char_p(74946196)
x8anwA	2	CA	c_char_p(57633700)
xYQKDc	1	CA	c_char_p(77783796)
wT7eLi	1	CA	c_char_p(22486292)
130rZ5	4	CA	c_char_p(19054820)
z5l1gK	1	CA	c_char_p(22508436)
Askb8k	1	CA	c_char_p(77770676)
zzorv3	1	CA	c_char_p(22413620)
wGUZ5Z	1	CA	c_char_p(23259700)
xs7j7v	1	CA	c_char_p(61963844)
zUQqyc	1	CA	c_char_p(21180916)
A8Ubvg	1	CA	c_char_p(41439668)
w9U2Y1	2	CA	c_char_p(18887044)
zQ3nay	10	CA	c_char_p(21418660)
gDlzcS	1	CA	c_char_p(30010244)
AjTYAK	1	CA	c_char_p(64014772)
wCIR3s	1	CA	c_char_p(19276452)
vgtF	1	CA	c_char_p(22482420)
AcRR6V	2	CA	c_char_p(33230084)
yKDakb	1	CA	c_char_p(20242932)
xyht0Z	4	CA	c_char_p(18785268)
zI2juu	1	CA	c_char_p(74844596)
w45sDw	2	CA	c_char_p(19553828)
srHO6N	1	CA	c_char_p(21844996)
yQgA37	1	CA	c_char_p(42911396)
AynlGH	2	CA	c_char_p(20960484)
w4WLm	2	CA	c_char_p(42963188)
cJK6bz	1	CA	c_char_p(18693492)
zCfzkm	1	CA	c_char_p(22372148)
4tSh9L	1	CA	c_char_p(18949380)
y23pgF	1	CA	c_char_p(20206468)
xAldXB	1	CA	c_char_p(18881060)
zju8L7	1	CA	c_char_p(18569124)
zbM36Z	1	CA	c_char_p(19036804)
wu3zMc	1	CA	c_char_p(62280068)
Aszbmu	1	CA	c_char_p(20214244)
wjdMSq	1	CA	c_char_p(33146644)
ylHOD8	1	CA	c_char_p(18557348)
AEBSjT	1	CA	c_char_p(22258756)
dtsOkZ	1	CA	c_char_p(20853396)
w9z9PB	46	CA	c_char_p(18584644)
n3QQVg	2	CA	c_char_p(33742500)
x3opOW	1	CA	c_char_p(19610772)
wzKdqg	12	CA	c_char_p(21389044)
zuPWuA	2	CA	c_char_p(18866772)
y7Huj7	1	CA	c_char_p(77790724)
x8HqRJ	2	CA	c_char_p(19058804)
yoI36l	1	CA	c_char_p(75183508)
vVBX3	1	CA	c_char_p(18562388)
wO4zAT	1	CA	c_char_p(75271572)
wdyEK7	1	CA	c_char_p(22276180)
6d7nUu	1	CA	c_char_p(19546580)
UT2FE	7	CA	c_char_p(18789684)
wRIdts	1	CA	c_char_p(65299556)
wLHV9B	3	CA	c_char_p(42943620)
wPpCET	1	CA	c_char_p(42961556)
